date,facebook,google,youtube,bmw,amazon,iphone,apple,samsung,btc,twitter,netflix,disney,bbc,trump,ebay,windows,euro,china,xiaomi,microsoft,btc2eur
2019-06-02 06:00:00,80.0,56.0,70.608696,4.814229,22.695652,16.849802,7.992855,18.588036,0.5576409999999999,12.268103,8.3832035,2.8625574,13.549438,2.8625574,8.873928,6.870137700000001,4.4165173,4.048474,3.5986435,2.0037901,7672.46241554
2019-06-02 07:00:00,77.0,57.0,70.84286,4.7759230000000015,21.65085,15.282953,7.0382023,15.249438,0.4972643,10.774059,6.7566137,2.3739452,14.243672,2.3739452,9.23201,6.4624066,4.875149,3.7413933,3.4252193,1.8819886,7679.79946844
2019-06-02 08:00:00,76.0,58.0,72.70421999999998,4.846948,20.243137,13.970615,6.3502800000000015,13.910137,0.4487141,9.722138,5.9321523,2.2033708,13.062841,2.2033708,9.979974,6.610112700000001,5.377719,3.4731102,3.4731102,1.847399,7780.18289843
2019-06-02 09:00:00,75.0,59.0,72.111115,5.608642,24.08417,16.166086,7.3482210000000014,16.096102,0.5192291,10.903811,6.8866177,2.4868342999999995,13.773235,2.4868342999999995,12.278744,7.926784,6.851966,4.030568,4.278603,2.1838703,7805.17374236
2019-06-02 10:00:00,77.0,58.0,70.083336,5.5748105,23.228378,15.175874,7.0952134,15.541896,0.5013515000000001,10.862616,6.996261,2.647234,11.647829,2.4707515,10.981118,6.8631988,5.9325957,3.3734367,3.808719,2.023382,7803.33015764
2019-06-02 11:00:00,81.0,58.0,68.47222,5.573320400000001,24.588179,16.064276,7.4142814,16.064276,0.5238351,11.873595,7.468874499999999,2.8726442000000003,10.951956,3.0521842999999995,10.960116,6.936783,5.860385400000001,3.3487916,3.8428757,2.1567159,7794.54127087
2019-06-02 12:00:00,84.0,59.0,69.50685,5.592505,26.31767,16.777515,8.078063,15.9805155,0.5211038,12.159088,8.169387,3.5011660000000004,10.68777,3.8697097,11.179162,7.022806599999999,5.7907352,3.7765665,4.1306195,2.1291854,7820.25480145
2019-06-02 13:00:00,85.0,60.0,72.16216,5.5509357,26.7751,16.979332,8.282601,15.874985999999998,0.5176626,12.078794,8.681633,3.774623000000001,9.706173,3.774623000000001,10.764666,6.8502417,5.2879057000000005,3.6053903,3.9381955,2.0896547,7857.58577398
2019-06-02 14:00:00,85.0,61.0,74.013336,4.775054,24.156155,14.606047,7.3910117,13.877002,0.442883,10.333938,7.9119205,3.3908231,7.961063,3.243396,9.1510105,5.791778599999999,4.122961,3.1413038,3.096428,1.7274808999999998,7769.28523129
2019-06-02 15:00:00,86.0,62.0,75.052635,5.6491227,29.574820000000006,17.27967,8.952117999999997,15.973387,0.34724754,12.327288,10.401149,4.317458,9.894175,3.95767,11.448974,7.0672679999999986,5.1507206,4.1924470000000005,3.795864,2.20405,7770.65181662
2019-06-02 16:00:00,88.0,61.0,74.013336,5.631449,28.470104,16.268631,8.729509,14.773016,0.33197787,11.619226,10.711474,4.175659,9.019424,3.6745803,10.892506,6.5617504,4.9778795,4.5253453000000015,3.4729393,2.0227008,7770.74666085
2019-06-02 17:00:00,90.0,62.0,72.60526,5.647076,29.17656,16.00005,8.691384,14.708497,0.334284,12.201366,12.571105,4.5030823,9.525751,3.983496,11.950488,6.5063767,5.048051,4.3749776,3.19116,2.0174,7786.80887418
2019-06-02 18:00:00,94.0,63.0,73.63636,6.403162,33.363846,17.524442999999998,9.5012045,15.237781,0.354367,13.288762,15.242991,5.5429062999999985,10.161995,4.4343247,13.58012,6.79006,5.598821,4.5267067,3.4090014,2.2198147999999995,7755.7443845
2019-06-02 19:00:00,93.0,64.0,75.48718000000002,6.162218599999999,30.502983,17.562323000000006,8.877658,13.974092,0.3367251,14.142454,15.445048000000002,4.838207700000001,9.503623,4.147035,13.377532999999998,6.421216,5.4073395999999985,4.280811,3.2238204,2.0284712,7783.0110016
2019-06-02 20:00:00,94.0,64.0,67.24051,5.976934,29.585823,17.930801000000006,9.156154,13.734231,0.34335577,16.137722,15.568155,5.0643395999999985,9.954046,4.5404425,12.419445,6.2764940000000005,5.363549,4.564723000000001,3.2758598,2.0159137,7791.06066758
2019-06-02 21:00:00,92.0,66.0,65.18519,5.244785,27.680809000000004,18.356747,9.178373,13.134569,0.33252075,16.626038,15.164407999999998,5.054802400000002,9.604125,5.054802400000002,11.040752,6.3850136,4.674742,4.78876,3.3152955000000004,2.0103388,7791.18153195
2019-06-02 22:00:00,90.0,65.0,65.8125,4.538793,25.814386,17.871498000000006,9.114464,12.152618,0.47347865,15.309143,14.957209,5.217631,6.6850896,5.0545797,9.201927,6.2210217000000005,3.6659591,4.63636,2.8114097,2.0081499,7803.49486525
2019-06-02 23:00:00,88.0,64.0,65.620255,3.905967500000001,26.740854,17.126165,9.704826,11.969286,0.48524135,14.071999,15.853265,5.5219235,4.6852684,5.354593,8.097189,6.529991000000001,3.0398233,5.1789584,2.6412687000000004,2.3111103,7818.479482899999
